Ficha,Precio,Pista,
1,Una flor,El quinto día de la semana en la Atlántida se llama Ecuatorial,
2,Un lápiz/rotulador/bolígrafo verde ,El primer día de la semana en la Atlántida se llama Acuario,
3,Una cuerda con 10 nudos,Durante el trabajo siempre hay una cuadrilla de 9 personas en el lugar,
4,Un caramelo o bombón,La altura del Ozat es de 100 metros,
5,La ficha debe pedirla alguien que no sea de esta asignatura,Cada bloque mide un metro cúbico,
6,Recitar la tabla del 8 en orden inverso,La longitud del Ozat es de 50 metros,
7,Una goma de borrar,El cuarto día de la semana en la Atlántida se llama Sirena,
8,Un mechero,El trabajo comienza al amanecer de Acuario,
9,Diez monedas de 2 céntimos,Cada trabajador descansa 16 Pondes durante la jornada laboral,
10,Copia de una pintada en la facultad,El tercer día de la semana en la Atlántida se llama Tiburón,
11,Recitar una poesía ,La anchura del Ozat es de 10 metros,
12,Fotografía de 2 del grupo + 3 que no sean de la asignatura,La semana en la Atlántida tiene cinco días,
13,Una goma elástica,Hay ocho Pondes en una Lirca,
14,Un barquito de papel ,La jornada laboral tiene 9 Lircas,
15,Una caricatura del/de la docente,Solamente una cuadrilla trabaja en la construcción del Ozat,
16,Una pequeña coreografía con dos personas ,Un miembro de la cuadrilla tiene obligaciones religiosas y no coloca bloques,
17,Una foto de la Gestión Académica de letras tomada con un móvil ,No se trabaja en el día Ecuatorial,
18,Una chincheta,El segundo día de la semana en la Atlántida se llama Neptuno,
19,Mannekin Challenge del grupo,Cada trabajador coloca 150 bloques por Lirca,
20,Una hoja seca,Cada bloque cuesta 2 aletas de oro,Si se pregunta precio
21,Contar un chiste ,En una aleta de oro hay ocho escamas de oro,Si se pregunta precio
22,Una piedra pequeña ,Cada cuadrilla incluye dos mujeres,Irrelevante
23,Una cuchara de plástico,El día es la medida básica del tiempo en la Atlántida,Irrelevante
24,Prueba de habilidad,El Ozat está construido en bloques de piedra,Irrelevante
25,Un café de máquina,El día en la Atlántida se divide en Lircas y Pondes,Irrelevante
26,Resolver un sudoku,El color verde tiene un significado religioso el día Sirena,Irrelevante
27,Una botella de refresco,Una Yarda Megalítica mide 3 metros y medio,Irrelevante
28,Una “titita”,Un codo es un cubo cuyos lados miden una Yarda Megalítica,Irrelevante
